date,Biển Đại Lãnh,Hòn Yến,Hòn Nưa,Chùa Tháp Tường Long,Cù Lao Xanh
2011-03-01,0,0,0,0,8
2011-04-01,0,0,0,0,0
2011-05-01,0,0,0,0,0
2011-06-01,0,0,0,0,8
2011-07-01,0,0,0,0,12
2011-08-01,0,0,0,0,16
2011-09-01,0,0,0,0,8
2011-10-01,0,0,0,0,7
2011-11-01,0,0,0,0,6
2011-12-01,0,0,0,0,6
2012-01-01,0,0,0,0,6
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,4
2012-06-01,6,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,4
2012-09-01,0,0,0,0,0
2012-10-01,0,0,0,0,0
2012-11-01,0,0,0,0,4
2012-12-01,0,0,0,0,5
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,4,0,0,0,0
2013-04-01,0,0,0,0,0
2013-05-01,0,0,0,0,0
2013-06-01,0,0,0,0,0
2013-07-01,0,0,0,0,3
2013-08-01,0,0,0,0,0
2013-09-01,0,0,0,0,0
2013-10-01,0,0,0,0,0
2013-11-01,4,0,0,0,3
2013-12-01,0,0,0,0,0
2014-01-01,0,0,0,0,3
2014-02-01,0,0,0,0,0
2014-03-01,0,0,0,0,3
2014-04-01,3,0,0,0,2
2014-05-01,4,0,8,0,3
2014-06-01,0,0,5,0,0
2014-07-01,0,0,0,0,3
2014-08-01,2,0,0,0,4
2014-09-01,0,0,0,0,5
2014-10-01,0,0,0,0,3
2014-11-01,0,0,0,0,0
2014-12-01,0,0,0,0,2
2015-01-01,0,0,0,0,2
2015-02-01,0,0,0,0,0
2015-03-01,3,0,0,0,3
2015-04-01,4,0,0,0,5
2015-05-01,4,0,0,0,4
2015-06-01,2,0,0,0,3
2015-07-01,0,2,0,0,4
2015-08-01,2,0,0,0,5
2015-09-01,0,0,0,0,2
2015-10-01,0,0,0,0,2
2015-11-01,3,0,0,0,3
2015-12-01,3,0,0,0,3
2016-01-01,3,0,0,0,0
2016-02-01,3,0,0,0,7
2016-03-01,3,2,0,0,6
2016-04-01,3,3,2,0,9
2016-05-01,3,0,0,0,6
2016-06-01,2,0,0,0,4
2016-07-01,3,4,0,0,4
2016-08-01,0,3,0,0,4
2016-09-01,4,0,0,0,3
2016-10-01,0,2,0,0,4
2016-11-01,0,2,0,0,4
2016-12-01,3,2,0,0,2
2017-01-01,2,3,0,0,3
2017-02-01,3,3,0,0,8
2017-03-01,3,3,0,0,7
2017-04-01,2,4,0,0,8
2017-05-01,3,4,0,0,10
2017-06-01,3,4,2,0,8
2017-07-01,0,8,2,0,9
2017-08-01,0,9,0,0,10
2017-09-01,0,6,0,0,8
2017-10-01,0,3,0,0,7
2017-11-01,3,0,0,0,5
2017-12-01,3,0,0,0,6
2018-01-01,0,2,0,0,6
2018-02-01,5,8,0,0,11
2018-03-01,4,5,3,0,12
2018-04-01,4,8,3,0,13
2018-05-01,6,7,2,0,16
2018-06-01,4,5,0,0,12
2018-07-01,0,6,4,0,14
2018-08-01,2,5,2,0,11
2018-09-01,2,3,0,0,11
2018-10-01,4,2,0,0,8
2018-11-01,3,3,0,0,6
2018-12-01,5,3,0,0,8
2019-01-01,2,3,0,0,9
2019-02-01,4,9,0,0,13
2019-03-01,3,4,2,0,14
2019-04-01,5,8,0,0,18
2019-05-01,5,9,0,0,15
2019-06-01,5,11,2,0,18
2019-07-01,4,11,2,0,18
2019-08-01,3,7,0,0,19
2019-09-01,4,5,0,0,9
2019-10-01,7,2,0,0,10
2019-11-01,3,3,0,0,6
2019-12-01,7,2,0,0,7
2020-01-01,2,6,0,0,12
2020-02-01,3,5,0,0,11
2020-03-01,8,2,0,0,7
2020-04-01,16,6,0,0,6
2020-05-01,11,10,2,0,19
2020-06-01,12,11,3,0,27
2020-07-01,6,9,3,0,29
2020-08-01,2,3,0,0,9
2020-09-01,8,3,0,0,10
2020-10-01,11,2,0,0,8
2020-11-01,8,2,0,0,7
2020-12-01,12,2,0,0,8
2021-01-01,6,3,0,0,9
2021-02-01,6,7,0,0,11
2021-03-01,10,6,3,0,16
2021-04-01,11,5,8,0,24
2021-05-01,15,4,3,0,10
2021-06-01,7,2,0,0,5
2021-07-01,4,2,0,0,5
2021-08-01,5,0,0,0,4
2021-09-01,14,0,0,0,4
2021-10-01,30,3,0,0,4
2021-11-01,44,2,0,0,11
2021-12-01,56,2,0,0,13
2022-01-01,55,4,0,0,13
2022-02-01,20,6,3,0,17
2022-03-01,71,7,2,0,16
2022-04-01,39,5,2,0,19
2022-05-01,30,6,2,0,18
2022-06-01,10,9,3,0,20
2022-07-01,12,10,3,0,19
2022-08-01,4,5,3,0,17
2022-09-01,18,4,0,0,14
2022-10-01,33,3,0,0,12
2022-11-01,26,3,0,0,12
2022-12-01,37,2,1,0,10
2023-01-01,11,3,2,0,12
2023-02-01,14,4,2,0,14
2023-03-01,39,5,2,0,24
2023-04-01,30,6,4,0,22
2023-05-01,23,6,3,0,20
2023-06-01,12,6,3,0,18
2023-07-01,4,8,3,0,20
2023-08-01,4,6,2,0,19
2023-09-01,17,4,0,0,11
2023-10-01,30,3,0,0,10
2023-11-01,16,4,0,0,12
2023-12-01,26,4,0,0,11
2024-01-01,9,3,0,0,12
2024-02-01,10,5,4,0,13
2024-03-01,27,4,2,0,16
2024-04-01,40,8,5,0,16
2024-05-01,33,4,4,0,18
2024-06-01,11,7,4,0,14
2024-07-01,3,8,6,0,16
2024-08-01,5,5,5,0,15
2024-09-01,14,3,3,0,11
2024-10-01,31,3,0,0,14
2024-11-01,47,3,0,0,10
2024-12-01,39,3,0,0,12
2025-01-01,25,3,0,0,20
2025-02-01,14,5,2,2,11
2025-03-01,35,5,2,0,16
2025-04-01,35,6,2,0,14
2025-05-01,29,7,4,0,14
2025-06-01,12,8,7,0,14
2025-07-01,7,9,7,0,16
2025-08-01,7,7,4,0,16
2025-09-01,14,3,0,0,8
2025-10-01,31,5,0,0,12
2025-11-01,26,4,0,0,11
