date,Hồ T’Nưng,Biển Hồ chè,Núi Ngọc Linh,Thác Dray Sáp,Hồ Tà Đùng
2011-03-01,0,0,0,0,0
2011-04-01,0,0,0,0,0
2011-05-01,0,0,0,0,0
2011-06-01,0,0,0,0,0
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,0,0
2012-10-01,0,0,0,0,0
2012-11-01,0,0,0,0,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,0,0
2013-04-01,0,0,0,0,0
2013-05-01,0,0,0,0,0
2013-06-01,0,0,0,0,0
2013-07-01,0,0,0,0,0
2013-08-01,0,0,0,0,0
2013-09-01,0,0,0,0,0
2013-10-01,0,0,0,0,0
2013-11-01,0,0,25,0,0
2013-12-01,0,0,0,0,0
2014-01-01,0,0,0,0,0
2014-02-01,0,0,0,0,0
2014-03-01,0,0,0,0,0
2014-04-01,0,0,100,0,0
2014-05-01,0,0,36,0,0
2014-06-01,0,0,42,0,0
2014-07-01,0,0,18,0,0
2014-08-01,0,0,0,0,0
2014-09-01,0,0,0,0,0
2014-10-01,0,0,0,0,0
2014-11-01,0,0,20,0,0
2014-12-01,0,29,0,0,0
2015-01-01,0,0,0,0,0
2015-02-01,0,0,0,0,0
2015-03-01,0,0,0,0,0
2015-04-01,0,0,69,0,0
2015-05-01,0,0,20,16,0
2015-06-01,0,0,0,0,0
2015-07-01,0,0,13,0,0
2015-08-01,0,0,0,0,0
2015-09-01,0,0,19,0,0
2015-10-01,0,16,22,0,0
2015-11-01,0,0,20,0,0
2015-12-01,0,0,0,0,0
2016-01-01,0,0,0,0,0
2016-02-01,0,0,0,0,0
2016-03-01,0,0,15,0,0
2016-04-01,0,0,20,0,0
2016-05-01,0,0,0,0,0
2016-06-01,0,0,0,0,14
2016-07-01,0,0,20,0,0
2016-08-01,0,0,18,0,15
2016-09-01,0,0,0,0,0
2016-10-01,0,0,14,0,0
2016-11-01,0,0,0,0,0
2016-12-01,0,0,0,0,0
2017-01-01,0,0,0,0,0
2017-02-01,0,0,21,0,0
2017-03-01,0,0,19,0,0
2017-04-01,0,0,15,0,0
2017-05-01,0,0,19,0,0
2017-06-01,0,0,26,0,0
2017-07-01,0,0,0,0,0
2017-08-01,0,0,0,0,0
2017-09-01,0,0,22,0,0
2017-10-01,0,0,21,0,0
2017-11-01,0,0,20,0,0
2017-12-01,0,0,22,0,0
2018-01-01,0,0,0,0,0
2018-02-01,0,0,28,0,33
2018-03-01,0,0,23,0,24
2018-04-01,0,15,18,0,24
2018-05-01,0,17,17,0,15
2018-06-01,0,0,16,0,24
2018-07-01,0,0,19,0,26
2018-08-01,0,0,21,0,22
2018-09-01,0,0,47,0,17
2018-10-01,0,0,23,0,32
2018-11-01,0,0,29,0,0
2018-12-01,0,14,24,0,35
2019-01-01,0,0,0,0,38
2019-02-01,0,17,26,0,37
2019-03-01,0,0,20,0,20
2019-04-01,0,19,25,0,26
2019-05-01,0,0,25,0,21
2019-06-01,0,0,30,0,19
2019-07-01,0,0,21,0,20
2019-08-01,0,0,19,0,28
2019-09-01,0,0,20,0,14
2019-10-01,0,13,32,0,21
2019-11-01,0,0,21,0,24
2019-12-01,0,0,35,0,33
2020-01-01,0,0,27,0,49
2020-02-01,0,18,20,0,48
2020-03-01,0,14,20,0,37
2020-04-01,0,0,46,0,33
2020-05-01,0,25,23,0,49
2020-06-01,0,18,27,0,53
2020-07-01,0,14,25,0,42
2020-08-01,0,0,17,0,25
2020-09-01,0,0,22,0,39
2020-10-01,0,12,37,0,37
2020-11-01,0,18,43,0,36
2020-12-01,0,17,19,0,51
2021-01-01,0,18,31,0,46
2021-02-01,0,18,34,0,25
2021-03-01,0,0,33,0,56
2021-04-01,0,16,39,12,71
2021-05-01,0,13,39,0,38
2021-06-01,0,14,24,0,0
2021-07-01,0,0,11,0,17
2021-08-01,0,0,23,0,14
2021-09-01,0,13,23,0,0
2021-10-01,0,11,72,0,23
2021-11-01,0,0,68,0,16
2021-12-01,0,10,57,0,31
2022-01-01,0,12,41,0,59
2022-02-01,0,13,41,0,72
2022-03-01,0,29,81,13,45
2022-04-01,0,29,61,11,54
2022-05-01,0,27,46,0,44
2022-06-01,0,16,32,0,29
2022-07-01,0,11,21,0,40
2022-08-01,0,11,20,0,45
2022-09-01,0,13,30,0,46
2022-10-01,0,0,83,0,30
2022-11-01,0,10,75,0,37
2022-12-01,0,16,41,0,25
2023-01-01,0,20,31,12,42
2023-02-01,0,15,37,0,45
2023-03-01,0,24,46,9,36
2023-04-01,0,33,61,9,51
2023-05-01,0,27,41,0,35
2023-06-01,0,14,28,11,32
2023-07-01,0,22,31,0,28
2023-08-01,0,0,27,0,34
2023-09-01,0,13,26,0,23
2023-10-01,0,19,43,0,25
2023-11-01,0,14,56,0,16
2023-12-01,0,14,54,0,34
2024-01-01,0,14,22,0,24
2024-02-01,0,15,19,0,51
2024-03-01,0,23,34,0,46
2024-04-01,0,39,32,0,44
2024-05-01,0,25,36,0,33
2024-06-01,0,27,23,0,30
2024-07-01,0,11,20,0,28
2024-08-01,0,0,13,0,33
2024-09-01,0,0,0,0,21
2024-10-01,0,18,43,0,28
2024-11-01,0,0,41,0,36
2024-12-01,0,0,31,0,37
2025-01-01,0,0,18,14,22
2025-02-01,0,0,25,0,27
2025-03-01,0,18,20,0,33
2025-04-01,0,19,17,0,51
2025-05-01,0,0,29,0,37
2025-06-01,0,0,25,0,25
2025-07-01,0,0,34,0,48
2025-08-01,0,0,22,0,42
2025-09-01,0,0,28,0,22
2025-10-01,0,21,50,0,24
2025-11-01,1,7,41,3,11
