date,Đường hầm điêu khắc,Chùa Linh Phước,Danh thắng thác Bản Ba,Núi Vọng Phu,Thác Mây
2011-03-01,0,0,0,0,0
2011-04-01,0,0,0,0,0
2011-05-01,0,0,0,0,0
2011-06-01,0,0,0,0,0
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,9,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,8,0,0,0
2012-10-01,0,0,0,0,0
2012-11-01,0,0,0,0,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,5,0,0,0
2013-04-01,0,6,0,0,0
2013-05-01,0,6,0,0,0
2013-06-01,0,0,0,0,0
2013-07-01,0,7,0,0,0
2013-08-01,0,0,0,0,0
2013-09-01,6,0,0,0,0
2013-10-01,0,0,0,0,0
2013-11-01,0,0,0,0,6
2013-12-01,0,0,0,0,0
2014-01-01,0,0,0,0,0
2014-02-01,0,8,0,0,0
2014-03-01,0,5,0,0,0
2014-04-01,0,5,0,0,0
2014-05-01,0,5,0,0,5
2014-06-01,0,6,0,0,0
2014-07-01,0,6,0,0,5
2014-08-01,5,6,0,0,0
2014-09-01,0,0,0,0,0
2014-10-01,0,0,0,6,0
2014-11-01,0,0,0,5,0
2014-12-01,4,0,0,0,0
2015-01-01,4,5,0,0,0
2015-02-01,5,9,0,0,0
2015-03-01,5,10,0,0,0
2015-04-01,4,7,0,0,0
2015-05-01,5,11,0,0,7
2015-06-01,4,10,0,0,5
2015-07-01,5,8,0,0,6
2015-08-01,0,7,0,0,7
2015-09-01,0,7,0,5,4
2015-10-01,0,10,0,0,0
2015-11-01,4,8,0,0,5
2015-12-01,0,9,0,6,0
2016-01-01,0,8,0,0,0
2016-02-01,0,18,0,7,0
2016-03-01,0,8,0,4,0
2016-04-01,6,6,0,0,9
2016-05-01,4,12,0,4,6
2016-06-01,5,19,0,0,11
2016-07-01,0,18,0,0,15
2016-08-01,0,13,0,4,8
2016-09-01,0,8,0,0,6
2016-10-01,0,10,0,0,5
2016-11-01,0,11,0,7,0
2016-12-01,0,17,0,6,5
2017-01-01,0,15,0,0,0
2017-02-01,0,30,0,5,7
2017-03-01,0,22,0,0,4
2017-04-01,0,20,0,0,16
2017-05-01,0,20,0,0,14
2017-06-01,6,24,0,8,15
2017-07-01,4,28,0,0,13
2017-08-01,0,19,0,4,22
2017-09-01,0,21,0,0,24
2017-10-01,0,21,0,0,7
2017-11-01,0,12,0,7,12
2017-12-01,6,23,0,6,5
2018-01-01,0,17,0,0,0
2018-02-01,5,34,0,4,7
2018-03-01,0,27,0,0,6
2018-04-01,4,24,0,0,31
2018-05-01,4,24,0,0,34
2018-06-01,8,26,0,0,37
2018-07-01,7,32,0,0,37
2018-08-01,4,21,0,0,16
2018-09-01,5,21,0,0,10
2018-10-01,4,17,0,4,8
2018-11-01,4,19,0,11,9
2018-12-01,5,25,0,6,0
2019-01-01,0,21,0,0,4
2019-02-01,7,46,0,5,19
2019-03-01,5,32,0,4,5
2019-04-01,7,28,0,0,19
2019-05-01,7,26,0,6,13
2019-06-01,17,38,0,0,37
2019-07-01,11,36,0,4,40
2019-08-01,8,30,0,0,22
2019-09-01,7,19,0,3,13
2019-10-01,6,22,0,7,10
2019-11-01,8,17,0,10,8
2019-12-01,11,17,0,10,6
2020-01-01,11,32,3,3,5
2020-02-01,8,21,0,4,6
2020-03-01,3,8,0,4,6
2020-04-01,0,9,0,5,10
2020-05-01,7,15,0,6,34
2020-06-01,8,15,0,8,33
2020-07-01,17,26,0,13,41
2020-08-01,0,8,0,12,11
2020-09-01,4,13,0,3,12
2020-10-01,5,15,0,5,9
2020-11-01,5,19,0,10,5
2020-12-01,5,23,0,4,7
2021-01-01,6,15,0,3,4
2021-02-01,0,15,0,5,6
2021-03-01,4,19,0,0,9
2021-04-01,6,15,0,3,22
2021-05-01,0,7,0,5,15
2021-06-01,0,4,0,4,15
2021-07-01,0,5,0,0,17
2021-08-01,0,5,0,3,5
2021-09-01,0,0,0,6,6
2021-10-01,0,6,0,17,7
2021-11-01,0,5,0,36,8
2021-12-01,0,8,0,39,12
2022-01-01,0,9,0,11,14
2022-02-01,7,28,0,6,13
2022-03-01,6,13,0,7,15
2022-04-01,9,19,0,11,39
2022-05-01,6,20,0,6,28
2022-06-01,9,20,0,10,54
2022-07-01,11,27,0,3,69
2022-08-01,7,24,0,5,48
2022-09-01,3,15,0,8,33
2022-10-01,5,13,0,17,15
2022-11-01,5,17,0,20,17
2022-12-01,5,13,0,19,12
2023-01-01,5,21,0,8,18
2023-02-01,6,22,0,4,15
2023-03-01,5,21,0,5,17
2023-04-01,4,19,0,10,33
2023-05-01,5,16,0,23,39
2023-06-01,9,23,0,44,62
2023-07-01,6,20,0,6,100
2023-08-01,0,15,0,5,39
2023-09-01,0,11,0,7,27
2023-10-01,3,13,0,17,15
2023-11-01,5,12,0,25,12
2023-12-01,4,13,0,25,13
2024-01-01,3,13,0,5,10
2024-02-01,5,27,0,13,14
2024-03-01,0,15,0,9,17
2024-04-01,6,13,0,16,39
2024-05-01,3,14,0,21,31
2024-06-01,6,17,0,35,78
2024-07-01,5,16,0,4,89
2024-08-01,0,18,0,5,48
2024-09-01,0,9,0,9,29
2024-10-01,4,10,0,9,18
2024-11-01,4,12,0,11,20
2024-12-01,0,10,0,9,14
2025-01-01,0,12,0,17,11
2025-02-01,4,19,0,7,12
2025-03-01,3,13,0,13,12
2025-04-01,4,12,0,6,30
2025-05-01,5,12,0,0,30
2025-06-01,5,16,0,3,66
2025-07-01,4,15,0,4,73
2025-08-01,4,13,0,4,57
2025-09-01,0,12,0,11,15
2025-10-01,0,11,0,12,17
2025-11-01,1,13,0,8,16
