date,Biển Cổ Thạch,Đồi cát Nam Cương,Hang Rái,Vịnh Vĩnh Hy,Cát Bà
2011-03-01,0,0,0,0,5
2011-04-01,0,0,0,0,11
2011-05-01,0,0,0,0,13
2011-06-01,0,0,0,0,25
2011-07-01,0,0,0,0,23
2011-08-01,0,0,0,1,12
2011-09-01,0,0,0,0,5
2011-10-01,0,0,0,0,6
2011-11-01,0,0,0,0,4
2011-12-01,0,0,0,0,4
2012-01-01,0,0,0,0,2
2012-02-01,0,0,0,0,4
2012-03-01,0,0,0,0,6
2012-04-01,0,0,0,1,15
2012-05-01,0,0,0,1,19
2012-06-01,0,0,0,1,31
2012-07-01,1,0,0,0,28
2012-08-01,0,0,0,0,13
2012-09-01,0,0,0,0,6
2012-10-01,0,0,0,0,5
2012-11-01,0,0,0,0,3
2012-12-01,0,0,0,0,3
2013-01-01,0,0,0,0,3
2013-02-01,0,0,0,1,3
2013-03-01,0,0,0,0,7
2013-04-01,0,0,0,0,21
2013-05-01,0,0,0,0,23
2013-06-01,0,0,0,1,33
2013-07-01,0,0,0,1,28
2013-08-01,0,0,0,1,12
2013-09-01,0,0,0,0,6
2013-10-01,0,0,0,0,6
2013-11-01,0,0,0,1,5
2013-12-01,0,0,0,0,4
2014-01-01,0,0,0,0,4
2014-02-01,0,0,0,1,6
2014-03-01,0,0,0,1,8
2014-04-01,0,0,0,1,19
2014-05-01,0,0,0,1,23
2014-06-01,0,0,0,1,38
2014-07-01,0,0,0,1,29
2014-08-01,0,0,0,1,17
2014-09-01,0,0,0,1,7
2014-10-01,0,0,0,1,6
2014-11-01,1,0,0,1,5
2014-12-01,0,0,0,1,5
2015-01-01,0,0,0,1,5
2015-02-01,0,0,0,1,5
2015-03-01,1,0,0,2,11
2015-04-01,1,0,0,2,30
2015-05-01,1,0,0,2,28
2015-06-01,1,0,0,2,40
2015-07-01,1,0,0,1,33
2015-08-01,0,0,0,1,12
2015-09-01,0,0,0,3,8
2015-10-01,1,0,1,1,7
2015-11-01,0,0,0,1,6
2015-12-01,0,0,0,1,5
2016-01-01,0,0,1,1,4
2016-02-01,1,0,1,2,8
2016-03-01,1,0,1,2,10
2016-04-01,1,0,2,3,27
2016-05-01,1,0,1,2,32
2016-06-01,1,0,1,2,48
2016-07-01,1,0,1,4,37
2016-08-01,1,0,1,2,15
2016-09-01,0,0,1,1,9
2016-10-01,0,0,1,1,7
2016-11-01,0,0,1,1,6
2016-12-01,0,0,1,1,6
2017-01-01,0,0,2,1,6
2017-02-01,1,0,2,3,12
2017-03-01,1,0,1,2,13
2017-04-01,1,0,2,2,27
2017-05-01,1,0,1,2,35
2017-06-01,1,0,1,3,53
2017-07-01,1,0,1,2,41
2017-08-01,1,0,1,2,25
2017-09-01,0,0,1,1,20
2017-10-01,0,0,1,1,13
2017-11-01,0,0,1,1,10
2017-12-01,0,0,1,1,9
2018-01-01,0,0,1,1,9
2018-02-01,1,0,1,2,10
2018-03-01,1,0,1,3,22
2018-04-01,1,0,2,3,42
2018-05-01,1,0,1,2,61
2018-06-01,1,0,1,2,76
2018-07-01,1,0,1,3,42
2018-08-01,1,0,1,2,25
2018-09-01,0,0,1,1,16
2018-10-01,0,0,1,1,13
2018-11-01,0,0,1,1,11
2018-12-01,0,0,1,1,9
2019-01-01,0,0,1,1,9
2019-02-01,1,0,1,2,15
2019-03-01,1,0,1,2,24
2019-04-01,1,0,1,3,42
2019-05-01,1,0,1,2,45
2019-06-01,1,0,1,2,69
2019-07-01,1,0,1,2,47
2019-08-01,1,0,1,1,27
2019-09-01,0,0,1,1,16
2019-10-01,0,0,0,1,14
2019-11-01,0,0,0,1,11
2019-12-01,0,0,1,1,8
2020-01-01,1,0,1,1,9
2020-02-01,1,0,1,1,11
2020-03-01,0,0,1,1,10
2020-04-01,0,0,0,2,13
2020-05-01,1,0,1,2,35
2020-06-01,1,0,1,2,69
2020-07-01,1,0,2,3,78
2020-08-01,0,0,0,1,12
2020-09-01,0,0,0,1,15
2020-10-01,0,0,0,1,13
2020-11-01,0,0,1,1,12
2020-12-01,0,0,1,1,11
2021-01-01,0,0,0,1,12
2021-02-01,1,0,1,1,8
2021-03-01,1,0,1,2,17
2021-04-01,1,0,1,2,40
2021-05-01,0,0,0,1,14
2021-06-01,0,0,0,0,12
2021-07-01,0,0,0,0,10
2021-08-01,0,0,0,0,7
2021-09-01,0,0,0,0,10
2021-10-01,0,0,0,0,13
2021-11-01,0,0,0,0,11
2021-12-01,0,0,0,0,13
2022-01-01,0,0,0,1,13
2022-02-01,1,0,1,2,15
2022-03-01,1,0,1,2,27
2022-04-01,1,0,1,2,65
2022-05-01,1,0,1,2,71
2022-06-01,1,0,1,2,100
2022-07-01,1,0,1,2,75
2022-08-01,1,0,1,2,40
2022-09-01,1,0,1,1,24
2022-10-01,0,0,0,1,18
2022-11-01,1,0,1,1,14
2022-12-01,0,0,0,1,12
2023-01-01,1,0,0,1,10
2023-02-01,1,0,1,1,18
2023-03-01,1,0,1,2,28
2023-04-01,1,0,1,2,45
2023-05-01,1,0,1,2,69
2023-06-01,1,0,1,3,88
2023-07-01,2,0,2,3,67
2023-08-01,1,0,1,3,33
2023-09-01,1,0,1,1,22
2023-10-01,1,0,0,1,17
2023-11-01,1,0,0,1,15
2023-12-01,1,0,0,1,13
2024-01-01,0,0,1,1,11
2024-02-01,1,0,1,2,16
2024-03-01,1,0,1,3,36
2024-04-01,1,0,1,3,68
2024-05-01,1,0,1,3,66
2024-06-01,1,0,2,4,80
2024-07-01,2,0,2,5,75
2024-08-01,1,0,1,3,43
2024-09-01,1,0,1,2,21
2024-10-01,1,0,1,2,21
2024-11-01,0,0,0,1,17
2024-12-01,0,0,0,1,16
2025-01-01,1,0,0,2,15
2025-02-01,1,0,1,4,18
2025-03-01,1,0,1,5,33
2025-04-01,1,0,1,5,48
2025-05-01,1,0,1,5,66
2025-06-01,1,0,1,5,84
2025-07-01,2,0,2,5,73
2025-08-01,1,0,1,3,39
2025-09-01,1,0,1,2,20
2025-10-01,0,0,0,1,19
2025-11-01,1,0,0,1,16
