date,Chùa Sà Lôn,nhà tù và bảo tàng tỉnh Sơn La,Mũi Cà Mau Cà Mau,Cao nguyên Mộc Châu,Vườn chim trong thành phố
2011-02-01,0,0,0,20,0
2011-03-01,0,0,22,0,0
2011-04-01,0,0,54,0,0
2011-05-01,0,0,21,0,0
2011-06-01,0,0,15,0,0
2011-07-01,0,0,19,0,0
2011-08-01,0,0,21,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,14,0,0
2011-11-01,0,0,14,0,0
2011-12-01,0,0,17,0,0
2012-01-01,0,0,15,0,0
2012-02-01,0,0,14,0,0
2012-03-01,0,0,13,0,0
2012-04-01,0,0,24,0,0
2012-05-01,0,0,16,9,0
2012-06-01,0,0,14,0,0
2012-07-01,0,0,12,0,0
2012-08-01,0,0,20,0,0
2012-09-01,0,0,16,0,0
2012-10-01,0,0,21,12,0
2012-11-01,0,0,15,10,0
2012-12-01,0,0,9,0,0
2013-01-01,0,0,18,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,17,0,0
2013-04-01,0,0,31,0,0
2013-05-01,0,0,15,0,0
2013-06-01,0,0,21,0,0
2013-07-01,0,0,19,0,0
2013-08-01,0,0,26,0,0
2013-09-01,0,0,22,0,0
2013-10-01,0,0,18,0,0
2013-11-01,0,0,19,0,0
2013-12-01,0,0,26,6,0
2014-01-01,0,0,16,0,0
2014-02-01,0,0,15,12,0
2014-03-01,0,0,24,7,0
2014-04-01,0,0,19,0,0
2014-05-01,0,0,21,0,0
2014-06-01,0,0,23,0,0
2014-07-01,0,0,23,0,0
2014-08-01,0,0,26,0,0
2014-09-01,0,0,20,6,0
2014-10-01,0,0,25,0,0
2014-11-01,0,0,20,7,0
2014-12-01,0,0,19,8,0
2015-01-01,0,0,20,9,0
2015-02-01,0,0,17,0,0
2015-03-01,0,0,26,0,0
2015-04-01,0,0,25,0,0
2015-05-01,0,0,29,0,0
2015-06-01,0,0,23,0,0
2015-07-01,0,0,24,0,0
2015-08-01,0,0,23,0,0
2015-09-01,0,0,24,6,0
2015-10-01,0,0,23,8,0
2015-11-01,0,0,29,10,0
2015-12-01,0,0,33,6,0
2016-01-01,0,0,28,5,0
2016-02-01,0,0,32,9,0
2016-03-01,0,0,36,6,0
2016-04-01,0,0,35,10,0
2016-05-01,0,0,29,8,0
2016-06-01,0,0,25,0,0
2016-07-01,0,0,35,0,0
2016-08-01,0,0,29,5,0
2016-09-01,0,0,34,9,0
2016-10-01,0,0,31,6,0
2016-11-01,0,0,28,10,0
2016-12-01,0,0,30,9,0
2017-01-01,0,0,26,0,0
2017-02-01,0,0,49,8,0
2017-03-01,0,0,40,11,0
2017-04-01,0,0,51,10,0
2017-05-01,0,0,36,5,0
2017-06-01,0,0,34,8,0
2017-07-01,0,0,44,0,0
2017-08-01,0,0,34,5,0
2017-09-01,0,0,35,5,0
2017-10-01,0,0,40,0,0
2017-11-01,0,0,39,8,0
2017-12-01,0,0,43,7,0
2018-01-01,0,0,35,8,0
2018-02-01,0,0,49,8,0
2018-03-01,0,0,44,6,0
2018-04-01,0,0,54,5,0
2018-05-01,0,0,41,0,0
2018-06-01,0,0,43,0,0
2018-07-01,0,0,45,0,0
2018-08-01,0,0,41,10,0
2018-09-01,0,0,34,0,0
2018-10-01,0,0,42,8,0
2018-11-01,0,0,50,0,0
2018-12-01,0,0,45,8,0
2019-01-01,0,0,40,8,0
2019-02-01,0,0,51,10,0
2019-03-01,0,0,43,7,0
2019-04-01,0,0,58,9,0
2019-05-01,0,0,47,0,0
2019-06-01,0,0,46,6,0
2019-07-01,0,0,54,5,0
2019-08-01,0,0,39,0,0
2019-09-01,0,0,40,7,0
2019-10-01,0,0,50,8,0
2019-11-01,0,0,52,7,0
2019-12-01,0,0,53,5,0
2020-01-01,0,0,46,6,0
2020-02-01,0,0,54,4,0
2020-03-01,0,0,38,3,0
2020-04-01,0,0,46,0,0
2020-05-01,0,0,52,5,0
2020-06-01,0,0,68,4,0
2020-07-01,0,0,57,10,0
2020-08-01,0,0,34,0,0
2020-09-01,0,0,38,0,0
2020-10-01,0,0,56,5,0
2020-11-01,0,0,51,13,0
2020-12-01,0,0,53,5,0
2021-01-01,0,0,47,8,0
2021-02-01,0,0,44,0,0
2021-03-01,0,0,63,5,0
2021-04-01,0,0,60,7,0
2021-05-01,0,0,46,8,0
2021-06-01,0,0,29,6,0
2021-07-01,0,0,20,0,0
2021-08-01,0,0,27,0,0
2021-09-01,0,0,33,7,0
2021-10-01,0,0,49,11,0
2021-11-01,0,0,48,17,0
2021-12-01,0,0,61,15,0
2022-01-01,0,0,55,14,0
2022-02-01,0,0,69,8,0
2022-03-01,0,0,60,11,0
2022-04-01,0,0,77,11,0
2022-05-01,0,0,63,8,0
2022-06-01,0,0,90,5,0
2022-07-01,0,0,73,0,0
2022-08-01,0,0,61,6,0
2022-09-01,0,0,70,8,0
2022-10-01,0,0,65,12,0
2022-11-01,0,0,71,14,0
2022-12-01,0,0,62,9,0
2023-01-01,0,0,61,7,0
2023-02-01,0,0,69,11,0
2023-03-01,0,0,75,8,0
2023-04-01,0,0,74,16,0
2023-05-01,0,0,67,9,4
2023-06-01,0,0,68,13,0
2023-07-01,0,0,66,5,0
2023-08-01,0,0,58,0,0
2023-09-01,0,0,54,5,0
2023-10-01,0,0,68,9,0
2023-11-01,0,0,68,10,0
2023-12-01,0,0,65,13,0
2024-01-01,0,0,61,6,0
2024-02-01,0,0,70,7,0
2024-03-01,0,0,95,8,0
2024-04-01,0,0,70,5,0
2024-05-01,0,0,70,8,0
2024-06-01,0,0,49,9,0
2024-07-01,0,0,67,6,0
2024-08-01,0,0,62,7,0
2024-09-01,0,0,66,7,0
2024-10-01,0,0,70,12,0
2024-11-01,0,0,74,9,0
2024-12-01,0,0,77,12,0
2025-01-01,0,0,46,9,9
2025-02-01,0,0,68,15,0
2025-03-01,0,0,100,13,0
2025-04-01,0,0,74,13,0
2025-05-01,0,0,57,10,0
2025-06-01,0,0,68,8,0
2025-07-01,0,0,65,6,0
2025-08-01,0,0,82,7,0
2025-09-01,0,0,93,8,0
2025-10-01,0,0,79,10,0
2025-11-01,0,0,94,3,1
