date,Bản Bước,Hồ Hoàn Kiếm,Quần đảo Nam Du,Hòn Một,Hòn Gầm Ghì
2011-03-01,9,8,0,2,0
2011-04-01,12,5,0,4,0
2011-05-01,10,3,0,2,0
2011-06-01,9,2,1,2,0
2011-07-01,7,2,0,1,0
2011-08-01,10,3,0,1,0
2011-09-01,14,3,0,5,0
2011-10-01,14,2,0,2,0
2011-11-01,14,2,0,2,0
2011-12-01,10,3,0,1,0
2012-01-01,7,2,0,0,0
2012-02-01,8,5,0,1,0
2012-03-01,8,2,0,2,0
2012-04-01,7,2,0,8,0
2012-05-01,8,2,0,3,0
2012-06-01,7,2,0,1,0
2012-07-01,6,2,0,2,0
2012-08-01,6,2,0,2,0
2012-09-01,7,3,0,2,0
2012-10-01,8,2,0,1,0
2012-11-01,8,2,0,2,0
2012-12-01,8,3,0,2,0
2013-01-01,8,4,0,2,0
2013-02-01,6,4,0,2,0
2013-03-01,9,3,0,3,0
2013-04-01,8,3,0,4,0
2013-05-01,8,2,0,4,0
2013-06-01,8,2,0,1,0
2013-07-01,7,2,0,1,0
2013-08-01,7,3,0,2,0
2013-09-01,9,3,0,2,0
2013-10-01,9,3,0,2,0
2013-11-01,9,3,0,2,0
2013-12-01,9,3,0,2,0
2014-01-01,7,5,0,1,0
2014-02-01,8,6,1,4,0
2014-03-01,10,3,0,3,0
2014-04-01,8,3,1,4,0
2014-05-01,8,2,1,3,0
2014-06-01,6,2,1,2,0
2014-07-01,6,3,1,2,0
2014-08-01,8,3,1,2,0
2014-09-01,9,4,1,3,0
2014-10-01,9,4,0,2,0
2014-11-01,10,4,0,3,0
2014-12-01,8,3,0,2,0
2015-01-01,9,6,0,2,0
2015-02-01,7,5,1,2,0
2015-03-01,11,4,1,3,0
2015-04-01,10,4,1,4,0
2015-05-01,10,4,1,3,0
2015-06-01,9,3,1,2,0
2015-07-01,7,3,1,2,0
2015-08-01,10,4,1,2,0
2015-09-01,10,4,0,3,0
2015-10-01,10,4,1,3,0
2015-11-01,10,4,0,3,0
2015-12-01,10,5,1,4,0
2016-01-01,8,14,0,2,0
2016-02-01,7,6,1,4,0
2016-03-01,11,5,1,6,0
2016-04-01,11,4,1,7,0
2016-05-01,10,4,1,5,0
2016-06-01,8,4,1,2,0
2016-07-01,7,3,0,3,0
2016-08-01,7,5,0,3,0
2016-09-01,11,7,0,4,0
2016-10-01,11,6,0,4,0
2016-11-01,9,6,0,5,0
2016-12-01,11,6,0,5,0
2017-01-01,7,7,1,3,0
2017-02-01,10,11,1,6,0
2017-03-01,12,6,1,7,0
2017-04-01,12,7,1,8,0
2017-05-01,11,5,1,6,0
2017-06-01,8,5,0,2,0
2017-07-01,8,6,0,2,0
2017-08-01,9,5,0,3,0
2017-09-01,11,7,0,4,0
2017-10-01,12,7,0,4,0
2017-11-01,12,7,1,5,1
2017-12-01,13,7,0,6,0
2018-01-01,11,12,0,4,0
2018-02-01,9,9,0,7,0
2018-03-01,13,7,1,7,0
2018-04-01,17,7,1,8,0
2018-05-01,13,6,1,7,0
2018-06-01,9,6,0,2,0
2018-07-01,8,6,0,2,0
2018-08-01,9,6,0,3,0
2018-09-01,13,8,0,6,0
2018-10-01,12,7,0,6,0
2018-11-01,12,8,0,6,0
2018-12-01,16,7,0,8,0
2019-01-01,11,11,0,5,0
2019-02-01,12,11,1,7,0
2019-03-01,18,7,0,9,0
2019-04-01,22,8,1,10,0
2019-05-01,18,7,1,8,0
2019-06-01,14,6,0,3,0
2019-07-01,9,7,0,3,0
2019-08-01,11,7,0,3,0
2019-09-01,15,8,1,7,0
2019-10-01,15,8,0,7,0
2019-11-01,14,8,1,6,0
2019-12-01,19,8,0,9,0
2020-01-01,10,8,0,4,0
2020-02-01,16,5,0,8,0
2020-03-01,22,4,1,11,0
2020-04-01,38,7,1,20,0
2020-05-01,31,11,1,19,0
2020-06-01,36,6,1,22,0
2020-07-01,20,6,1,6,0
2020-08-01,13,4,0,3,0
2020-09-01,14,6,0,7,0
2020-10-01,17,8,0,11,0
2020-11-01,20,7,0,10,0
2020-12-01,28,8,0,14,0
2021-01-01,20,8,0,9,0
2021-02-01,19,8,0,11,0
2021-03-01,36,9,0,19,0
2021-04-01,35,7,1,18,0
2021-05-01,46,3,2,16,0
2021-06-01,29,3,1,5,0
2021-07-01,15,3,0,5,0
2021-08-01,15,2,0,6,0
2021-09-01,19,4,0,11,0
2021-10-01,44,6,1,25,0
2021-11-01,68,6,0,27,0
2021-12-01,79,6,3,30,0
2022-01-01,73,8,3,27,0
2022-02-01,48,11,1,25,0
2022-03-01,100,10,2,45,0
2022-04-01,64,9,3,32,0
2022-05-01,50,9,2,26,0
2022-06-01,29,7,1,6,0
2022-07-01,16,7,3,7,0
2022-08-01,13,8,0,6,0
2022-09-01,22,9,0,8,0
2022-10-01,39,10,1,17,0
2022-11-01,40,10,1,16,0
2022-12-01,57,8,1,19,0
2023-01-01,24,7,1,8,0
2023-02-01,36,14,1,14,0
2023-03-01,62,9,2,22,0
2023-04-01,50,9,3,24,0
2023-05-01,39,9,2,14,0
2023-06-01,25,8,1,5,0
2023-07-01,12,7,0,4,0
2023-08-01,13,7,0,5,0
2023-09-01,19,10,1,7,0
2023-10-01,35,10,1,13,0
2023-11-01,37,9,1,14,0
2023-12-01,49,10,2,15,0
2024-01-01,29,12,1,8,0
2024-02-01,24,10,1,10,0
2024-03-01,66,10,1,19,0
2024-04-01,49,9,4,19,0
2024-05-01,52,9,3,14,0
2024-06-01,26,6,1,5,0
2024-07-01,12,6,0,5,0
2024-08-01,14,7,0,6,0
2024-09-01,22,9,1,8,0
2024-10-01,42,19,1,16,0
2024-11-01,43,11,1,18,0
2024-12-01,58,12,2,18,0
2025-01-01,27,11,2,11,0
2025-02-01,22,9,1,12,0
2025-03-01,51,13,2,18,0
2025-04-01,40,12,3,15,0
2025-05-01,38,9,3,13,0
2025-06-01,15,6,1,7,0
2025-07-01,13,8,0,8,0
2025-08-01,17,13,0,8,0
2025-09-01,23,12,0,10,0
2025-10-01,40,22,1,16,0
2025-11-01,45,12,1,16,0
