date,Thác Đambri,Động Thiên Long,Cánh đồng Cẩm Tú Cầu,Động Hoa Tiên,Động Đá Bạc Hoà Bình
2011-02-01,0,0,0,0,0
2011-03-01,0,16,0,0,0
2011-04-01,0,0,0,0,0
2011-05-01,0,17,0,0,0
2011-06-01,0,32,0,0,0
2011-07-01,0,0,0,0,0
2011-08-01,0,13,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,14,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,12,0
2012-04-01,0,10,0,0,0
2012-05-01,0,11,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,0,0
2012-10-01,0,0,0,0,0
2012-11-01,0,0,0,0,0
2012-12-01,0,9,0,12,0
2013-01-01,0,10,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,10,0,0,0
2013-04-01,0,10,0,8,0
2013-05-01,0,0,0,0,0
2013-06-01,0,9,0,0,0
2013-07-01,0,0,0,0,0
2013-08-01,0,11,0,0,0
2013-09-01,0,14,0,9,0
2013-10-01,0,12,0,0,0
2013-11-01,0,7,0,0,0
2013-12-01,7,9,0,0,0
2014-01-01,0,8,0,0,0
2014-02-01,0,10,0,0,0
2014-03-01,0,11,0,0,0
2014-04-01,0,12,0,0,0
2014-05-01,35,13,0,6,0
2014-06-01,7,0,0,0,0
2014-07-01,0,13,0,0,0
2014-08-01,0,12,0,8,0
2014-09-01,0,16,0,0,0
2014-10-01,0,14,0,0,0
2014-11-01,0,9,0,6,0
2014-12-01,0,9,0,7,0
2015-01-01,0,0,0,8,0
2015-02-01,0,0,0,0,0
2015-03-01,0,12,0,0,0
2015-04-01,0,9,0,0,0
2015-05-01,0,8,0,6,0
2015-06-01,0,9,0,9,0
2015-07-01,0,0,0,0,0
2015-08-01,0,10,0,0,0
2015-09-01,0,10,0,8,0
2015-10-01,0,10,0,6,0
2015-11-01,0,6,0,9,0
2015-12-01,0,8,0,7,0
2016-01-01,0,8,0,0,0
2016-02-01,0,0,0,9,0
2016-03-01,11,14,0,7,0
2016-04-01,0,11,0,7,0
2016-05-01,0,12,0,7,0
2016-06-01,0,9,0,0,0
2016-07-01,5,7,0,0,0
2016-08-01,0,7,0,0,0
2016-09-01,0,9,0,6,0
2016-10-01,0,6,0,5,0
2016-11-01,9,10,0,6,0
2016-12-01,0,10,0,12,0
2017-01-01,0,9,0,8,0
2017-02-01,0,8,10,8,0
2017-03-01,0,19,8,9,0
2017-04-01,0,16,6,8,0
2017-05-01,0,11,0,0,0
2017-06-01,0,10,8,0,0
2017-07-01,0,5,0,7,0
2017-08-01,0,5,5,0,0
2017-09-01,0,0,9,5,0
2017-10-01,0,11,0,12,0
2017-11-01,0,10,13,13,0
2017-12-01,6,10,11,8,0
2018-01-01,6,8,6,9,0
2018-02-01,0,13,12,0,0
2018-03-01,0,18,8,8,0
2018-04-01,0,17,6,10,0
2018-05-01,0,13,5,8,0
2018-06-01,0,9,11,6,0
2018-07-01,0,0,11,7,0
2018-08-01,0,7,7,8,0
2018-09-01,0,6,7,8,0
2018-10-01,0,7,12,8,0
2018-11-01,0,16,12,6,0
2018-12-01,0,15,14,9,0
2019-01-01,0,9,10,10,0
2019-02-01,0,12,12,9,0
2019-03-01,0,19,9,9,0
2019-04-01,0,20,12,14,0
2019-05-01,0,17,12,11,0
2019-06-01,0,10,17,10,0
2019-07-01,0,7,16,0,0
2019-08-01,0,6,9,4,0
2019-09-01,5,9,5,5,0
2019-10-01,0,11,6,8,0
2019-11-01,5,16,5,13,0
2019-12-01,0,16,10,9,0
2020-01-01,0,9,10,12,0
2020-02-01,0,10,7,10,0
2020-03-01,0,14,0,19,0
2020-04-01,0,24,0,26,0
2020-05-01,0,26,8,24,0
2020-06-01,4,29,9,21,0
2020-07-01,0,27,16,14,0
2020-08-01,0,10,4,7,0
2020-09-01,0,9,5,12,0
2020-10-01,5,14,0,13,0
2020-11-01,0,21,6,14,0
2020-12-01,0,24,7,22,0
2021-01-01,0,12,5,19,0
2021-02-01,0,9,0,10,0
2021-03-01,0,25,6,20,0
2021-04-01,0,27,10,27,0
2021-05-01,0,39,0,42,0
2021-06-01,0,33,0,39,0
2021-07-01,0,6,0,17,0
2021-08-01,0,10,0,12,0
2021-09-01,0,7,0,21,0
2021-10-01,0,31,0,53,0
2021-11-01,0,59,0,83,0
2021-12-01,0,67,0,90,0
2022-01-01,0,53,6,89,0
2022-02-01,5,41,5,52,0
2022-03-01,5,89,4,100,0
2022-04-01,6,67,5,70,0
2022-05-01,0,57,4,60,0
2022-06-01,0,53,6,46,0
2022-07-01,0,17,6,15,0
2022-08-01,0,12,4,14,0
2022-09-01,0,17,0,24,0
2022-10-01,5,35,0,54,0
2022-11-01,0,39,0,56,0
2022-12-01,0,54,4,75,0
2023-01-01,0,24,4,33,0
2023-02-01,0,29,0,46,0
2023-03-01,5,63,3,66,0
2023-04-01,0,68,5,71,0
2023-05-01,0,58,3,53,0
2023-06-01,0,46,7,31,0
2023-07-01,0,12,0,12,0
2023-08-01,0,14,0,12,0
2023-09-01,0,16,0,24,0
2023-10-01,0,36,0,42,0
2023-11-01,3,34,0,37,0
2023-12-01,0,61,0,55,0
2024-01-01,0,34,0,30,0
2024-02-01,6,27,0,33,0
2024-03-01,0,59,0,66,0
2024-04-01,0,63,0,58,0
2024-05-01,0,63,0,61,0
2024-06-01,0,54,0,33,4
2024-07-01,0,15,0,17,0
2024-08-01,0,18,0,18,0
2024-09-01,0,23,0,26,0
2024-10-01,0,38,0,47,0
2024-11-01,0,28,0,50,0
2024-12-01,0,41,0,71,0
2025-01-01,0,30,0,48,0
2025-02-01,0,35,0,46,0
2025-03-01,4,47,0,72,0
2025-04-01,0,69,0,57,0
2025-05-01,0,80,0,61,0
2025-06-01,0,73,0,45,0
2025-07-01,0,24,0,42,0
2025-08-01,7,24,0,35,0
2025-09-01,0,28,0,43,0
2025-10-01,0,41,0,76,0
2025-11-01,1,42,0,96,0
