date,Gò Tháp,Chùa Phước Kiển,Gáo Giồng,Cánh đồng Hoa Hồng Sa Đéc,Nhà cổ Huỳnh Thủy Lê
2011-02-01,0,0,0,0,0
2011-03-01,0,0,0,0,0
2011-04-01,0,0,0,0,0
2011-05-01,0,0,26,0,0
2011-06-01,0,0,0,0,0
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,20
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,0,0
2012-10-01,0,0,18,0,0
2012-11-01,0,0,0,0,0
2012-12-01,0,0,17,0,0
2013-01-01,0,0,18,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,0,0
2013-04-01,0,0,17,0,0
2013-05-01,0,0,0,0,0
2013-06-01,0,0,0,0,0
2013-07-01,0,0,18,0,0
2013-08-01,0,0,20,0,0
2013-09-01,0,0,0,0,0
2013-10-01,0,0,12,0,0
2013-11-01,0,0,0,0,0
2013-12-01,0,0,18,0,0
2014-01-01,0,0,15,0,0
2014-02-01,0,16,21,0,13
2014-03-01,0,10,15,0,0
2014-04-01,24,0,25,0,0
2014-05-01,0,0,13,0,0
2014-06-01,0,0,0,0,0
2014-07-01,0,0,14,0,0
2014-08-01,15,0,16,0,0
2014-09-01,14,0,19,0,0
2014-10-01,11,0,19,0,0
2014-11-01,16,0,21,0,0
2014-12-01,10,0,24,0,0
2015-01-01,17,0,13,0,12
2015-02-01,15,0,21,0,0
2015-03-01,14,0,22,0,0
2015-04-01,29,0,30,0,19
2015-05-01,16,0,24,0,0
2015-06-01,10,0,13,0,0
2015-07-01,0,0,15,0,0
2015-08-01,10,10,19,0,0
2015-09-01,0,0,16,0,0
2015-10-01,10,0,25,0,0
2015-11-01,14,0,9,0,0
2015-12-01,18,0,13,0,0
2016-01-01,0,0,16,0,0
2016-02-01,15,13,22,0,0
2016-03-01,14,0,17,0,12
2016-04-01,27,0,24,0,0
2016-05-01,10,0,16,0,0
2016-06-01,13,0,14,0,0
2016-07-01,21,0,16,0,9
2016-08-01,17,0,14,0,0
2016-09-01,19,0,19,0,0
2016-10-01,22,0,22,0,0
2016-11-01,17,0,20,0,0
2016-12-01,34,0,0,0,0
2017-01-01,13,0,22,0,12
2017-02-01,21,22,23,0,0
2017-03-01,20,0,25,0,0
2017-04-01,34,0,23,0,0
2017-05-01,14,0,26,0,0
2017-06-01,0,0,24,0,0
2017-07-01,13,0,12,0,0
2017-08-01,13,0,24,0,0
2017-09-01,21,0,27,0,9
2017-10-01,9,0,21,0,0
2017-11-01,18,0,15,0,9
2017-12-01,37,0,16,0,10
2018-01-01,25,0,19,0,0
2018-02-01,23,13,30,0,16
2018-03-01,29,0,23,0,0
2018-04-01,40,0,29,0,0
2018-05-01,21,0,21,0,0
2018-06-01,12,0,25,0,0
2018-07-01,18,0,22,0,11
2018-08-01,21,0,24,0,0
2018-09-01,21,0,26,0,0
2018-10-01,16,0,21,0,0
2018-11-01,10,0,20,0,0
2018-12-01,55,0,21,0,0
2019-01-01,21,0,21,0,9
2019-02-01,35,0,31,0,10
2019-03-01,18,8,26,0,0
2019-04-01,36,0,26,0,19
2019-05-01,20,0,22,0,14
2019-06-01,19,0,26,0,9
2019-07-01,20,0,14,0,0
2019-08-01,22,0,24,0,10
2019-09-01,25,0,22,0,8
2019-10-01,17,0,21,0,9
2019-11-01,26,0,14,0,7
2019-12-01,35,0,12,8,9
2020-01-01,19,8,19,16,20
2020-02-01,26,0,15,0,10
2020-03-01,22,0,7,0,0
2020-04-01,21,0,11,0,0
2020-05-01,18,0,17,8,11
2020-06-01,29,9,15,0,11
2020-07-01,25,0,15,0,0
2020-08-01,15,0,7,0,8
2020-09-01,29,0,16,0,10
2020-10-01,26,0,12,0,7
2020-11-01,40,0,16,0,8
2020-12-01,43,0,9,0,7
2021-01-01,33,0,12,10,14
2021-02-01,22,0,12,0,8
2021-03-01,30,0,16,0,15
2021-04-01,46,0,27,0,13
2021-05-01,21,0,9,0,0
2021-06-01,18,0,10,0,0
2021-07-01,17,0,0,0,0
2021-08-01,14,0,0,0,0
2021-09-01,89,0,0,0,0
2021-10-01,18,0,0,0,0
2021-11-01,22,0,8,0,0
2021-12-01,25,0,0,0,0
2022-01-01,28,0,10,0,7
2022-02-01,28,0,16,0,8
2022-03-01,21,0,11,0,0
2022-04-01,56,0,18,0,8
2022-05-01,33,0,14,0,0
2022-06-01,24,0,11,0,0
2022-07-01,18,0,12,0,14
2022-08-01,28,0,17,0,6
2022-09-01,24,0,12,6,9
2022-10-01,37,0,11,0,7
2022-11-01,37,0,8,0,0
2022-12-01,83,0,12,0,8
2023-01-01,31,0,21,8,7
2023-02-01,41,0,18,0,7
2023-03-01,54,0,13,0,0
2023-04-01,47,0,16,0,13
2023-05-01,48,0,11,0,0
2023-06-01,23,0,11,0,0
2023-07-01,21,0,7,0,0
2023-08-01,30,0,15,0,0
2023-09-01,34,0,14,0,6
2023-10-01,60,0,16,0,0
2023-11-01,55,9,13,0,7
2023-12-01,76,0,12,0,10
2024-01-01,38,0,11,0,13
2024-02-01,33,0,12,0,10
2024-03-01,41,0,8,0,10
2024-04-01,67,0,17,0,9
2024-05-01,44,0,14,0,0
2024-06-01,21,0,9,0,0
2024-07-01,25,0,13,0,0
2024-08-01,27,0,16,0,8
2024-09-01,49,0,12,0,9
2024-10-01,49,0,13,0,0
2024-11-01,57,0,18,0,9
2024-12-01,100,0,20,0,10
2025-01-01,38,0,15,0,0
2025-02-01,37,0,12,0,9
2025-03-01,47,0,7,0,0
2025-04-01,65,0,10,0,7
2025-05-01,50,0,9,0,0
2025-06-01,34,0,8,0,0
2025-07-01,83,0,13,0,0
2025-08-01,80,0,19,0,0
2025-09-01,65,0,12,0,0
2025-10-01,83,0,11,0,0
2025-11-01,95,0,18,0,12
