date,đất ngập nước Vân Long,Động Thiên Hà,Tháp Bà Ponagar,Vịnh Vân Phong,Vịnh Nha Trang
2011-03-01,0,0,0,0,26
2011-04-01,0,0,25,0,15
2011-05-01,0,0,0,0,0
2011-06-01,0,15,0,0,26
2011-07-01,14,0,0,0,0
2011-08-01,0,24,0,0,0
2011-09-01,0,12,0,0,0
2011-10-01,0,0,0,16,16
2011-11-01,0,12,11,0,13
2011-12-01,0,15,11,12,11
2012-01-01,0,15,0,0,0
2012-02-01,0,12,18,0,11
2012-03-01,0,0,15,0,17
2012-04-01,0,0,16,14,17
2012-05-01,0,11,0,15,21
2012-06-01,0,0,0,0,17
2012-07-01,0,0,11,0,14
2012-08-01,0,0,0,0,16
2012-09-01,0,10,10,9,13
2012-10-01,0,9,20,8,0
2012-11-01,0,11,11,0,0
2012-12-01,0,0,8,0,12
2013-01-01,0,0,11,0,13
2013-02-01,0,0,15,0,13
2013-03-01,0,0,13,10,10
2013-04-01,0,8,22,12,16
2013-05-01,0,8,16,15,23
2013-06-01,0,0,15,0,15
2013-07-01,0,0,16,7,18
2013-08-01,0,7,14,10,18
2013-09-01,0,7,14,8,14
2013-10-01,0,7,13,11,17
2013-11-01,0,7,11,7,14
2013-12-01,0,7,21,0,15
2014-01-01,0,0,8,0,8
2014-02-01,0,14,31,7,28
2014-03-01,0,8,18,8,20
2014-04-01,0,9,23,10,20
2014-05-01,0,7,20,10,23
2014-06-01,0,10,24,11,19
2014-07-01,0,0,24,10,25
2014-08-01,0,0,17,8,18
2014-09-01,0,6,28,6,13
2014-10-01,0,7,18,8,9
2014-11-01,0,7,14,0,22
2014-12-01,0,8,10,10,30
2015-01-01,0,6,19,0,56
2015-02-01,0,0,28,9,22
2015-03-01,0,10,25,12,26
2015-04-01,0,9,29,19,29
2015-05-01,0,0,27,10,27
2015-06-01,0,0,26,19,26
2015-07-01,0,7,27,13,23
2015-08-01,0,7,22,12,20
2015-09-01,0,6,20,8,19
2015-10-01,0,9,20,12,20
2015-11-01,0,0,16,10,18
2015-12-01,0,8,17,12,15
2016-01-01,0,0,22,8,22
2016-02-01,0,8,20,19,28
2016-03-01,0,6,24,16,22
2016-04-01,0,9,30,14,31
2016-05-01,0,8,25,15,22
2016-06-01,0,8,23,11,24
2016-07-01,0,9,25,15,25
2016-08-01,0,6,16,5,19
2016-09-01,0,8,17,12,25
2016-10-01,0,8,19,11,18
2016-11-01,0,7,15,11,19
2016-12-01,0,7,18,7,18
2017-01-01,0,7,22,0,14
2017-02-01,0,10,42,12,31
2017-03-01,0,10,26,17,24
2017-04-01,0,11,32,12,28
2017-05-01,0,7,21,10,21
2017-06-01,5,8,23,14,32
2017-07-01,0,5,20,10,28
2017-08-01,0,6,21,14,25
2017-09-01,0,8,19,14,27
2017-10-01,0,8,18,15,23
2017-11-01,0,9,16,15,27
2017-12-01,0,12,14,15,28
2018-01-01,0,8,17,12,19
2018-02-01,0,9,39,18,26
2018-03-01,0,11,31,31,44
2018-04-01,0,12,32,35,37
2018-05-01,0,10,27,30,40
2018-06-01,0,5,31,29,31
2018-07-01,0,8,35,19,30
2018-08-01,0,9,23,11,21
2018-09-01,0,10,17,10,19
2018-10-01,0,10,26,16,18
2018-11-01,0,9,23,11,17
2018-12-01,0,10,20,17,17
2019-01-01,0,11,21,13,15
2019-02-01,0,18,41,17,29
2019-03-01,0,13,28,13,30
2019-04-01,0,16,42,15,30
2019-05-01,0,16,23,16,29
2019-06-01,0,9,33,17,26
2019-07-01,0,7,30,17,28
2019-08-01,0,8,19,12,19
2019-09-01,0,11,22,9,20
2019-10-01,0,9,24,16,19
2019-11-01,0,14,18,12,20
2019-12-01,0,13,24,13,15
2020-01-01,0,9,19,5,16
2020-02-01,0,9,16,8,10
2020-03-01,0,12,13,6,10
2020-04-01,0,19,14,7,14
2020-05-01,0,12,26,15,32
2020-06-01,0,15,38,22,38
2020-07-01,0,9,44,14,39
2020-08-01,0,8,12,5,11
2020-09-01,0,6,14,28,11
2020-10-01,0,15,20,16,18
2020-11-01,0,25,21,19,17
2020-12-01,0,15,18,17,18
2021-01-01,0,15,23,13,12
2021-02-01,0,6,22,11,14
2021-03-01,0,16,34,17,32
2021-04-01,0,18,46,21,30
2021-05-01,0,20,20,20,12
2021-06-01,0,12,6,15,6
2021-07-01,0,9,5,9,8
2021-08-01,0,9,7,0,7
2021-09-01,0,22,10,12,9
2021-10-01,0,60,16,33,11
2021-11-01,0,82,11,17,13
2021-12-01,0,67,25,21,14
2022-01-01,0,60,20,9,14
2022-02-01,0,25,36,18,26
2022-03-01,0,46,51,26,34
2022-04-01,0,40,47,34,33
2022-05-01,0,30,38,26,31
2022-06-01,0,20,40,28,36
2022-07-01,0,16,52,14,29
2022-08-01,0,13,40,15,26
2022-09-01,0,20,28,12,15
2022-10-01,0,31,30,34,16
2022-11-01,0,35,36,15,19
2022-12-01,0,36,28,16,19
2023-01-01,0,21,31,14,16
2023-02-01,0,22,54,17,23
2023-03-01,0,31,78,22,34
2023-04-01,0,34,61,23,56
2023-05-01,0,29,57,20,30
2023-06-01,0,18,47,23,28
2023-07-01,0,11,55,12,29
2023-08-01,0,11,40,11,22
2023-09-01,0,13,32,28,16
2023-10-01,0,29,49,29,17
2023-11-01,0,23,39,20,21
2023-12-01,0,40,37,18,20
2024-01-01,0,32,44,12,38
2024-02-01,0,21,46,10,25
2024-03-01,0,33,52,15,27
2024-04-01,0,42,65,19,60
2024-05-01,0,39,46,21,30
2024-06-01,0,36,47,19,37
2024-07-01,0,14,50,16,47
2024-08-01,0,19,41,18,28
2024-09-01,0,27,34,12,16
2024-10-01,0,35,41,18,29
2024-11-01,0,34,51,13,23
2024-12-01,0,44,48,24,26
2025-01-01,0,28,29,51,40
2025-02-01,0,27,41,15,23
2025-03-01,0,38,45,19,37
2025-04-01,0,44,53,22,53
2025-05-01,0,39,33,22,35
2025-06-01,0,26,34,20,29
2025-07-01,0,24,46,11,38
2025-08-01,0,21,39,8,25
2025-09-01,0,26,37,8,16
2025-10-01,0,40,32,14,26
2025-11-01,0,49,37,10,25
